GUO Yihan POSITION,GUO Yihan LAP TIME,GUO Yihan ELAPSED TIME,AHN Se Jung POSITION,AHN Se Jung LAP TIME,AHN Se Jung ELAPSED TIME,Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME,ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME
4,16.59,16.59,3,16.53,16.53,2,16.48,16.48,1,16.48,16.48
4,12.88,29.47,1,12.73,29.26,2,12.88,29.36,3,12.90,29.38
1,10.09,39.56,4,10.74,40.00,2,10.34,39.70,3,10.35,39.73
1,10.41,49.97,4,10.24,50.24,2,10.43,50.13,3,10.41,50.14
1,9.90,59.87,4,10.38,1:00.62,3,10.14,1:00.27,2,10.13,1:00.27
1,9.83,1:09.70,4,9.66,1:10.28,2,9.55,1:09.82,3,9.57,1:09.84
1,9.51,1:19.21,4,9.14,1:19.42,2,9.54,1:19.36,3,9.54,1:19.38
1,9.23,1:28.44,2,9.17,1:28.59,3,9.42,1:28.78,4,9.42,1:28.80
3,10.10,1:38.534,1,9.66,1:38.248,4,9.92,1:38.691,2,9.56,1:38.358
