CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Stephane PERIER POSITION,Stephane PERIER LAP TIME,Stephane PERIER ELAPSED TIME,SUI Bao Ku POSITION,SUI Bao Ku LAP TIME,SUI Bao Ku ELAPSED TIME
2,13.18,13.18,5,13.54,13.54,3,13.33,13.33,1,12.99,12.99,4,13.41,13.41
3,10.37,23.55,5,10.31,23.86,4,10.51,23.84,2,10.52,23.51,1,9.86,23.28
2,9.73,33.29,5,9.78,33.64,4,9.67,33.52,3,9.99,33.50,1,9.98,33.26
1,9.68,42.97,5,9.74,43.39,4,9.79,43.31,3,9.66,43.16,2,9.77,43.04
2,9.82,52.79,5,9.69,53.09,4,9.71,53.03,3,9.71,52.87,1,9.70,52.74
3,9.33,1:02.13,2,9.04,1:02.13,5,9.49,1:02.52,4,9.44,1:02.31,1,9.30,1:02.04
3,9.20,1:11.34,1,8.99,1:11.12,5,9.52,1:12.04,4,9.28,1:11.59,2,9.14,1:11.18
3,9.13,1:20.47,1,8.97,1:20.10,5,9.70,1:21.75,4,9.39,1:20.99,2,9.14,1:20.33
2,10.22,1:30.690,1,9.21,1:29.309,4,10.26,1:32.008,3,10.22,1:31.203,0,,DQ
