TALAYEVA Volha POSITION,TALAYEVA Volha LAP TIME,TALAYEVA Volha ELAPSED TIME,BIRO Kristina POSITION,BIRO Kristina LAP TIME,BIRO Kristina ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME,SU Linlin POSITION,SU Linlin LAP TIME,SU Linlin ELAPSED TIME
2,13.749,13.749,1,13.680,13.680,3,14.109,14.109,4,14.143,14.143
2,10.668,24.417,1,10.735,24.414,3,10.681,24.789,4,10.710,24.852
1,10.776,35.193,2,10.876,35.289,4,10.834,35.622,3,10.664,35.516
1,10.937,46.129,2,10.874,46.163,3,10.707,46.329,4,10.925,46.440
2,10.928,57.057,1,10.710,56.873,4,11.021,57.349,3,10.736,57.176
4,11.097,1:08.154,2,10.319,1:07.191,3,10.244,1:07.592,1,10.005,1:07.181
4,11.299,1:19.452,3,10.579,1:17.770,2,10.110,1:17.702,1,10.367,1:17.547
4,11.871,1:31.323,2,10.149,1:27.919,3,10.559,1:28.260,1,10.236,1:27.783
4,12.85,1:44.169,3,12.52,1:40.436,2,10.39,1:38.643,1,10.72,1:38.499
