WANG Meng POSITION,WANG Meng LAP TIME,WANG Meng ELAPSED TIME,Ayuko ITO POSITION,Ayuko ITO LAP TIME,Ayuko ITO ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME
3,10.10,10.10,6,10.38,10.38,1,9.77,9.77,5,10.23,10.23,4,10.20,10.20,2,9.90,9.90
4,14.49,24.59,6,14.46,24.84,2,14.55,24.32,5,14.48,24.71,1,14.02,24.22,3,14.54,24.44
1,12.67,37.26,6,12.88,37.72,4,13.17,37.49,2,12.59,37.30,3,13.15,37.37,5,13.16,37.60
2,11.68,48.94,6,11.52,49.24,3,11.46,48.95,1,11.53,48.83,4,11.68,49.05,5,11.48,49.08
4,10.86,59.80,6,10.82,1:00.06,2,10.58,59.53,3,10.83,59.66,5,10.89,59.94,1,10.22,59.30
4,10.41,1:10.21,6,10.35,1:10.41,2,10.45,1:09.98,3,10.44,1:10.10,5,10.38,1:10.32,1,10.45,1:09.75
3,10.32,1:20.53,6,10.40,1:20.81,2,10.49,1:20.47,4,10.47,1:20.57,5,10.44,1:20.76,1,10.60,1:20.35
1,9.80,1:30.33,6,10.18,1:30.99,2,10.02,1:30.49,4,10.12,1:30.69,5,10.12,1:30.88,3,10.25,1:30.60
1,10.20,1:40.53,6,10.04,1:41.03,2,10.14,1:40.63,4,10.12,1:40.81,5,10.07,1:40.95,3,10.11,1:40.71
1,10.22,1:50.75,6,10.33,1:51.36,2,10.21,1:50.84,3,10.12,1:50.93,5,10.32,1:51.27,4,10.43,1:51.14
1,10.04,2:00.79,6,9.87,2:01.23,2,10.08,2:00.92,3,10.08,2:01.01,4,9.81,2:01.08,5,10.03,2:01.17
1,9.60,2:10.39,5,9.59,2:10.82,2,9.68,2:10.60,4,9.69,2:10.70,3,9.58,2:10.66,6,9.93,2:11.10
1,9.58,2:19.97,5,9.64,2:20.46,3,9.68,2:20.28,4,9.64,2:20.34,2,9.40,2:20.06,6,10.52,2:21.62
2,10.05,2:30.015,4,9.99,2:30.446,3,10.03,2:30.310,0,,PEN,1,9.79,2:29.844,5,11.18,2:32.800
