KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Ievgen GUTENOV POSITION,Ievgen GUTENOV LAP TIME,Ievgen GUTENOV ELAPSED TIME
2,12.99,12.99,1,12.97,12.97,4,13.30,13.30,3,13.17,13.17,5,13.45,13.45
1,9.61,22.60,2,9.71,22.68,4,9.59,22.89,3,9.64,22.81,5,9.45,22.90
1,9.62,32.22,2,9.64,32.32,5,9.80,32.69,3,9.64,32.45,4,9.68,32.58
1,9.35,41.57,2,9.35,41.67,5,9.35,42.04,3,9.31,41.76,4,9.30,41.88
1,9.14,50.71,2,9.17,50.84,5,9.22,51.26,3,9.22,50.98,4,9.22,51.10
1,9.04,59.75,2,9.05,59.89,5,9.04,1:00.30,3,9.01,59.99,4,9.00,1:00.10
1,9.04,1:08.79,2,9.07,1:08.96,5,9.25,1:09.55,3,9.08,1:09.07,4,9.15,1:09.25
1,9.26,1:18.05,3,9.26,1:18.22,5,9.49,1:19.04,2,9.11,1:18.18,4,9.31,1:18.56
1,9.34,1:27.387,3,9.47,1:27.688,5,10.01,1:29.044,2,9.31,1:27.491,4,9.73,1:28.289
