Lauge Hye LANGKJER POSITION,Lauge Hye LANGKJER LAP TIME,Lauge Hye LANGKJER ELAPSED TIME,Ganbat JARGALANCHULUUN POSITION,Ganbat JARGALANCHULUUN LAP TIME,Ganbat JARGALANCHULUUN ELAPSED TIME,LI Jiajun POSITION,LI Jiajun LAP TIME,LI Jiajun ELAPSED TIME,Peter JELEN POSITION,Peter JELEN LAP TIME,Peter JELEN ELAPSED TIME
3,13.466,13.466,4,13.957,13.957,2,13.245,13.245,1,13.133,13.133
3,10.264,23.729,4,9.934,23.891,2,10.474,23.718,1,10.375,23.508
3,10.243,33.972,4,10.139,34.029,1,10.112,33.830,2,10.369,33.876
4,10.390,44.361,3,9.981,44.010,1,9.765,43.594,2,9.738,43.614
4,10.142,54.503,3,10.216,54.225,1,9.745,53.338,2,9.838,53.451
3,10.277,1:04.779,4,10.672,1:04.897,1,9.529,1:02.866,2,9.580,1:03.031
3,10.761,1:15.540,4,10.832,1:15.728,1,9.771,1:12.637,2,9.920,1:12.950
3,10.913,1:26.453,4,28.423,1:44.151,1,9.550,1:22.186,2,9.373,1:22.322
3,12.14,1:38.586,4,17.31,2:01.454,1,10.27,1:32.456,2,11.22,1:33.542
