VANHOOREN Rino POSITION,VANHOOREN Rino LAP TIME,VANHOOREN Rino ELAPSED TIME,EYBOG Daniil POSITION,EYBOG Daniil LAP TIME,EYBOG Daniil ELAPSED TIME,Murat TAHTACI POSITION,Murat TAHTACI LAP TIME,Murat TAHTACI ELAPSED TIME,HANDEI Volodymyr POSITION,HANDEI Volodymyr LAP TIME,HANDEI Volodymyr ELAPSED TIME,OH Han Yuan POSITION,OH Han Yuan LAP TIME,OH Han Yuan ELAPSED TIME,MARTINIC Ivan POSITION,MARTINIC Ivan LAP TIME,MARTINIC Ivan ELAPSED TIME
2,13.78,13.78,5,13.90,13.90,4,13.88,,3,13.86,13.86,6,13.97,13.97,1,13.68,13.68
3,10.30,24.08,2,10.14,24.04,4,10.24,,6,10.37,24.23,5,10.19,24.16,1,10.31,23.99
2,9.74,33.82,1,9.69,33.73,5,9.91,,4,9.70,33.93,6,9.92,34.08,2,9.83,33.82
2,9.81,43.63,1,9.76,43.49,5,9.90,,3,9.80,43.73,6,9.96,44.04,4,10.05,43.87
2,9.68,53.31,1,9.73,53.22,4,9.58,,3,9.67,53.40,5,9.64,53.68,6,10.84,54.71
3,9.65,1:02.96,1,9.52,1:02.74,4,9.55,,2,9.42,1:02.82,5,9.52,1:03.20,6,10.33,1:05.04
2,9.15,1:12.11,1,9.25,1:11.99,5,9.92,,3,9.31,1:12.13,4,9.51,1:12.71,6,10.86,1:15.90
2,9.22,1:21.33,1,9.24,1:21.23,5,9.50,,3,9.67,1:21.80,4,9.71,1:22.42,6,11.27,1:27.17
1,9.43,1:30.764,2,9.54,1:30.771,4,9.64,,3,9.92,1:31.722,4,10.19,1:32.617,5,11.64,1:38.811
