Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME,Benoit ANTERIEUX POSITION,Benoit ANTERIEUX LAP TIME,Benoit ANTERIEUX ELAPSED TIME,Claudio RINALDI POSITION,Claudio RINALDI LAP TIME,Claudio RINALDI ELAPSED TIME
2,12.43,12.43,3,12.63,12.63,1,12.24,12.24,4,12.67,12.67
1,9.90,22.34,4,9.91,22.54,3,10.21,22.45,2,9.70,22.38
2,10.06,32.41,4,10.09,32.63,3,10.01,32.46,1,9.77,32.15
3,9.96,42.38,1,9.64,42.28,4,10.12,42.59,2,10.13,42.28
2,9.74,52.12,1,9.79,52.07,4,9.80,52.39,3,10.01,52.30
3,9.41,1:01.54,1,9.40,1:01.48,4,9.38,1:01.77,2,9.23,1:01.53
1,9.05,1:10.59,3,9.27,1:10.75,4,9.16,1:10.94,2,9.14,1:10.67
3,9.20,1:19.79,2,9.00,1:19.75,4,9.30,1:20.25,1,8.83,1:19.50
2,9.17,1:28.955,1,9.09,1:28.841,4,9.35,1:29.593,3,9.54,1:29.035
