Mathias VOSTE POSITION,Mathias VOSTE LAP TIME,Mathias VOSTE ELAPSED TIME,CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME,Felix SPIEGL POSITION,Felix SPIEGL LAP TIME,Felix SPIEGL ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME
1,15.85,15.85,2,15.95,15.95,3,16.06,16.06,4,16.22,16.22,5,16.34,16.34
3,13.39,29.24,2,13.26,29.21,1,13.06,29.12,5,13.23,29.45,4,13.01,29.35
3,10.44,39.68,5,10.61,39.82,2,10.45,39.57,4,10.35,39.80,1,10.18,39.53
3,10.05,49.73,5,10.23,50.05,2,10.15,49.72,4,10.15,49.95,1,10.13,49.66
1,9.34,59.07,5,9.49,59.54,4,9.62,59.34,3,9.36,59.31,2,9.58,59.24
1,9.43,1:08.50,5,9.31,1:08.85,4,9.44,1:08.78,2,9.25,1:08.56,3,9.34,1:08.58
1,9.43,1:17.93,4,9.29,1:18.14,5,9.47,1:18.25,2,9.43,1:17.99,3,9.49,1:18.07
2,9.51,1:27.44,4,9.38,1:27.52,5,9.41,1:27.66,1,9.00,1:26.99,3,9.38,1:27.45
4,10.13,1:37.569,5,30.33,1:57.849,3,9.61,1:37.264,1,9.52,1:36.505,2,9.77,1:37.213
