ZHAO Nannan POSITION,ZHAO Nannan LAP TIME,ZHAO Nannan ELAPSED TIME,Anouk ZOUTENDIJK POSITION,Anouk ZOUTENDIJK LAP TIME,Anouk ZOUTENDIJK ELAPSED TIME,Katalin KRISTO POSITION,Katalin KRISTO LAP TIME,Katalin KRISTO ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME
0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,
2,13.420,13.420,3,13.560,13.560,4,13.860,13.860,1,13.380,13.380
1,10.120,23.540,4,10.230,23.790,2,9.820,23.680,3,10.340,23.720
2,10.010,33.550,3,9.860,33.660,4,9.980,33.660,1,9.610,33.330
1,9.930,43.490,2,9.830,43.500,4,10.010,43.680,3,10.250,43.590
1,9.950,53.440,4,9.990,53.490,2,9.790,53.470,3,9.890,53.480
1,9.840,1:03.280,4,9.990,1:03.480,3,9.930,1:03.410,2,9.810,1:03.290
1,9.950,1:13.240,3,9.860,1:13.350,4,9.980,1:13.390,2,9.970,1:13.270
1,10.150,1:23.390,2,10.190,1:23.540,3,10.290,1:23.690,4,10.740,1:24.010
1,10.450,1:33.840,2,10.360,1:33.910,3,10.280,1:33.980,4,9.970,1:33.990
