Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Subodh Balavant PATIL POSITION,Subodh Balavant PATIL LAP TIME,Subodh Balavant PATIL ELAPSED TIME,Anthony DOUGLAS POSITION,Anthony DOUGLAS LAP TIME,Anthony DOUGLAS ELAPSED TIME,Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME
1,9.55,1:21.42,2,10.05,1:21.58,6,11.63,1:25.71,3,10.11,1:21.65,4,9.94,1:21.72,5,10.01,1:21.87
1,9.30,1:30.72,2,9.18,1:30.77,6,12.03,1:37.75,4,9.39,1:31.04,5,9.39,1:31.11,3,8.95,1:30.83
3,9.27,1:40.00,2,9.21,1:39.98,6,13.34,1:51.09,4,9.24,1:40.29,5,9.29,1:40.40,1,9.01,1:39.84
4,9.54,1:49.54,2,9.11,1:49.09,6,12.70,2:03.79,5,9.64,1:49.93,3,9.09,1:49.49,1,9.01,1:48.86
4,9.60,1:59.15,2,9.34,1:58.44,6,13.27,2:17.06,5,10.04,1:59.98,3,9.34,1:58.84,1,9.37,1:58.23
4,10.07,2:09.23,2,9.67,2:08.11,6,13.82,2:30.89,5,10.18,2:10.16,3,9.68,2:08.52,1,9.73,2:07.97
3,10.85,2:20.075,0,,DQ,5,14.24,2:45.125,4,10.99,2:21.150,2,9.77,2:18.286,1,10.11,2:18.073
