Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME,KAMINAGA Shione POSITION,KAMINAGA Shione LAP TIME,KAMINAGA Shione ELAPSED TIME,van RUIJVEN Lara POSITION,van RUIJVEN Lara LAP TIME,van RUIJVEN Lara ELAPSED TIME,Andrea KESZLER POSITION,Andrea KESZLER LAP TIME,Andrea KESZLER ELAPSED TIME,Mariya IZAFATAVA POSITION,Mariya IZAFATAVA LAP TIME,Mariya IZAFATAVA ELAPSED TIME
1,14.46,14.46,3,14.65,14.65,2,14.55,14.55,5,14.84,14.84,4,14.73,14.73
1,11.89,26.35,4,11.92,26.57,2,11.91,26.46,5,11.90,26.74,3,11.76,26.49
2,10.29,36.64,4,10.24,36.81,3,10.25,36.71,5,10.19,36.93,1,10.03,36.52
2,10.33,46.97,4,10.33,47.14,3,10.29,47.00,5,10.32,47.25,1,10.39,46.91
1,9.68,56.65,4,9.85,56.99,2,9.77,56.77,5,9.81,57.06,3,9.92,56.83
1,9.55,1:06.20,3,9.48,1:06.47,2,9.51,1:06.28,4,9.72,1:06.78,5,10.00,1:06.83
2,9.62,1:15.82,4,9.48,1:15.95,1,9.37,1:15.65,3,9.16,1:15.94,5,10.21,1:17.04
2,9.48,1:25.30,4,9.65,1:25.60,1,9.48,1:25.13,3,9.40,1:25.34,5,10.66,1:27.70
2,9.49,1:34.776,4,9.73,1:35.304,1,9.52,1:34.65,3,9.67,1:34.990,5,11.00,1:38.690
