ANDERMANN Dominic POSITION,ANDERMANN Dominic LAP TIME,ANDERMANN Dominic ELAPSED TIME,Tobias PIETZSCH POSITION,Tobias PIETZSCH LAP TIME,Tobias PIETZSCH ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,David CAKO POSITION,David CAKO LAP TIME,David CAKO ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME
1,7.07,7.07,4,7.42,7.42,2,7.19,7.19,5,7.54,7.54,3,7.27,7.27
2,9.18,16.25,4,9.11,16.53,1,9.02,16.21,5,9.17,16.71,3,9.13,16.40
4,8.87,25.12,3,8.56,25.09,1,8.44,24.65,5,8.59,25.30,2,8.43,24.83
4,8.87,33.99,3,8.75,33.84,1,8.51,33.16,5,8.98,34.28,2,8.52,33.35
4,9.11,43.10,3,8.94,42.78,1,8.73,41.89,5,9.06,43.34,2,8.67,42.02
