Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,Jonathan SERMENO POSITION,Jonathan SERMENO LAP TIME,Jonathan SERMENO ELAPSED TIME,Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME,XU Peng POSITION,XU Peng LAP TIME,XU Peng ELAPSED TIME
1,7.16,7.16,4,11.75,11.75,3,7.46,7.46,2,7.26,7.26
1,9.22,16.38,3,10.19,21.94,2,9.55,17.02,4,15.69,22.96
1,9.04,25.43,3,9.00,30.95,2,9.06,26.08,4,11.23,34.19
1,9.23,34.67,3,9.09,40.04,2,9.11,35.20,4,12.17,46.37
2,10.50,45.170,3,10.09,50.124,1,9.58,44.772,0,,DQ
