GREAT BRITAIN POSITION,GREAT BRITAIN LAP TIME,GREAT BRITAIN ELAPSED TIME,UNITED STATES POSITION,UNITED STATES LAP TIME,UNITED STATES ELAPSED TIME,ITALY POSITION,ITALY LAP TIME,ITALY ELAPSED TIME,KOREA POSITION,KOREA LAP TIME,KOREA ELAPSED TIME
4,12.77,12.77,3,12.64,12.64,1,12.34,,2,12.44,12.44
4,9.26,22.03,3,9.08,21.72,1,9.15,,2,9.17,21.61
4,9.16,31.19,3,9.28,31.00,1,9.29,,2,9.28,30.89
4,9.20,40.39,3,9.16,40.16,1,9.06,,2,9.14,40.03
4,8.96,49.35,3,8.98,49.14,1,9.00,,2,8.98,49.01
4,8.92,58.27,3,8.96,58.10,1,8.97,,2,8.95,57.96
4,9.01,1:07.28,3,9.00,1:07.10,1,9.05,,2,9.00,1:06.96
4,8.98,1:16.26,3,9.08,1:16.18,1,9.10,,2,9.12,1:16.08
4,9.27,1:25.53,3,9.23,1:25.41,1,9.24,,2,9.24,1:25.32
4,9.11,1:34.64,3,9.14,1:34.55,1,9.10,,2,9.12,1:34.44
4,9.19,1:43.83,3,9.14,1:43.69,1,9.18,,2,9.17,1:43.61
4,9.01,1:52.84,3,9.01,1:52.70,1,8.95,,2,8.98,1:52.59
4,9.07,2:01.91,3,8.99,2:01.69,1,9.03,,2,8.96,2:01.55
4,8.84,2:10.75,3,8.83,2:10.52,2,8.94,,1,8.79,2:10.34
4,9.14,2:19.89,3,9.23,2:19.75,2,9.25,,1,9.25,2:19.59
4,9.13,2:29.02,3,9.15,2:28.90,2,9.14,,1,9.10,2:28.69
4,8.96,2:37.98,3,8.80,2:37.70,2,8.84,,1,8.81,2:37.50
4,8.94,2:46.92,3,8.94,2:46.64,2,8.81,,1,8.86,2:46.36
4,8.96,2:55.88,3,8.69,2:55.33,2,8.69,,1,8.67,2:55.03
4,8.86,3:04.74,3,8.57,3:03.90,2,8.59,,1,8.62,3:03.65
4,8.82,3:13.56,3,8.83,3:12.73,2,8.87,,1,8.89,3:12.54
4,8.78,3:22.34,3,8.91,3:21.64,2,8.96,,1,8.93,3:21.47
4,8.93,3:31.27,3,8.80,3:30.44,2,8.76,,1,8.76,3:30.23
4,9.08,3:40.35,3,8.72,3:39.16,2,8.76,,1,8.77,3:39.00
4,8.96,3:49.31,3,8.73,3:47.89,2,8.72,,1,8.71,3:47.71
4,8.99,3:58.30,3,8.68,3:56.57,2,8.68,,1,8.67,3:56.38
4,9.09,4:07.39,3,8.86,4:05.43,2,8.84,,1,8.86,4:05.24
4,8.97,4:16.36,3,8.89,4:14.32,2,8.90,,1,8.87,4:14.11
4,9.03,4:25.39,3,8.66,4:22.98,2,8.66,,1,8.65,4:22.76
4,9.21,4:34.60,3,8.67,4:31.65,2,8.69,,1,8.73,4:31.49
4,8.49,4:43.09,3,8.73,4:40.38,2,8.74,,1,8.73,4:40.22
4,9.99,4:53.08,3,8.77,4:49.15,2,8.70,,1,8.70,4:48.92
4,9.41,5:02.49,3,8.64,4:57.79,2,8.71,,1,8.76,4:57.68
4,9.17,5:11.66,3,8.96,5:06.75,2,8.88,,1,8.68,5:06.36
4,9.33,5:20.99,3,8.63,5:15.38,2,8.62,,1,8.59,5:14.95
4,9.68,5:30.67,3,8.50,5:23.88,2,8.57,,1,8.64,5:23.59
4,8.84,5:39.51,3,8.66,5:32.54,2,8.63,,1,8.75,5:32.34
4,10.98,5:50.49,3,8.66,5:41.20,2,8.67,,1,8.66,5:41.00
4,10.01,6:00.50,2,8.55,5:49.75,3,8.80,,1,8.69,5:49.69
4,9.33,6:09.83,2,8.95,5:58.70,3,8.86,,1,8.78,5:58.47
4,9.30,6:19.13,2,8.65,6:07.35,3,8.89,,1,8.77,6:07.24
4,9.64,6:28.77,2,8.76,6:16.11,3,8.61,,1,8.73,6:15.97
4,9.74,6:38.51,2,8.80,6:24.91,3,8.68,,1,8.78,6:24.75
4,9.97,6:48.48,3,8.64,6:33.55,2,8.53,,1,8.61,6:33.36
3,10.57,6:59.042,1,8.87,6:42.414,2,9.05,,2,13.64,6:46.995
