ZANG Yize POSITION,ZANG Yize LAP TIME,ZANG Yize ELAPSED TIME,CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME,KIM Ji Yoo POSITION,KIM Ji Yoo LAP TIME,KIM Ji Yoo ELAPSED TIME,CHARLES Alyson POSITION,CHARLES Alyson LAP TIME,CHARLES Alyson ELAPSED TIME,BACSKAI Sara Luca POSITION,BACSKAI Sara Luca LAP TIME,BACSKAI Sara Luca ELAPSED TIME
1,13.86,,2,13.93,13.93,3,13.95,13.95,4,13.99,13.99,5,14.20,14.20
2,10.66,,3,10.70,24.63,4,10.77,24.72,1,10.45,24.44,5,10.64,24.84
3,10.68,,4,10.69,35.32,2,10.41,35.13,1,10.65,35.09,5,10.60,35.44
3,9.98,,4,9.90,45.22,2,9.94,45.07,1,9.91,45.00,5,9.93,45.37
3,9.72,,2,9.55,54.77,4,9.91,54.98,1,9.63,54.63,4,9.61,54.98
3,9.29,,2,9.35,1:04.12,5,9.40,1:04.38,1,9.35,1:03.98,4,9.31,1:04.29
3,9.37,,2,9.29,1:13.41,4,9.32,1:13.70,1,9.32,1:13.30,5,9.45,1:13.74
3,9.33,,2,9.44,1:22.85,5,9.56,1:23.26,1,9.43,1:22.73,4,9.36,1:23.10
2,9.56,,5,10.41,1:33.26,4,9.66,1:32.92,1,9.58,1:32.31,3,9.45,1:32.55
