Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,KONSTANTINOVA Ekaterina POSITION,KONSTANTINOVA Ekaterina LAP TIME,KONSTANTINOVA Ekaterina ELAPSED TIME,Magdalena WARAKOMSKA POSITION,Magdalena WARAKOMSKA LAP TIME,Magdalena WARAKOMSKA ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME,MALAGICH Emina POSITION,MALAGICH Emina LAP TIME,MALAGICH Emina ELAPSED TIME,Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME
6,10.06,10.06,1,9.33,9.33,3,9.62,9.62,5,9.96,9.96,2,9.52,9.52,4,9.76,9.76
5,13.48,23.54,1,13.77,23.10,3,13.71,23.33,6,13.68,23.64,2,13.71,23.23,4,13.71,23.47
1,11.68,35.22,3,12.22,35.32,5,12.14,35.47,6,11.99,35.63,4,12.17,35.40,2,11.76,35.23
2,10.82,46.04,3,10.83,46.15,5,10.87,46.34,6,10.81,46.44,4,10.85,46.25,1,10.73,45.96
2,11.12,57.16,3,11.14,57.29,5,11.14,57.48,6,11.16,57.60,4,11.15,57.40,1,11.10,57.06
3,10.97,1:08.13,4,10.99,1:08.28,5,10.81,1:08.29,6,10.87,1:08.47,1,10.50,1:07.90,2,10.94,1:08.00
1,10.11,1:18.24,4,10.30,1:18.58,3,10.20,1:18.49,6,10.35,1:18.82,2,10.52,1:18.42,5,10.62,1:18.62
3,10.19,1:28.43,2,9.82,1:28.40,4,10.07,1:28.56,6,9.98,1:28.80,1,9.96,1:28.38,5,10.07,1:28.69
3,9.70,1:38.13,1,9.52,1:37.92,4,9.70,1:38.26,6,9.74,1:38.54,2,9.65,1:38.03,5,9.73,1:38.42
2,9.73,1:47.86,1,9.87,1:47.79,4,9.70,1:47.96,6,9.67,1:48.21,3,9.84,1:47.87,5,9.68,1:48.10
1,9.46,1:57.32,2,9.77,1:57.56,4,10.00,1:57.96,6,9.87,1:58.08,3,9.81,1:57.68,5,9.92,1:58.02
1,9.74,2:07.06,2,9.64,2:07.20,5,10.08,2:08.04,4,9.70,2:07.78,3,9.61,2:07.29,6,10.07,2:08.09
1,9.89,2:16.95,2,9.94,2:17.14,6,10.48,2:18.52,4,9.83,2:17.61,3,10.01,2:17.30,5,10.19,2:18.28
1,10.10,2:27.05,2,10.14,2:27.28,6,10.93,2:29.426,4,10.09,2:27.70,3,10.18,2:27.48,5,10.45,2:28.710
