Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME,MANOILOVA Katrin POSITION,MANOILOVA Katrin LAP TIME,MANOILOVA Katrin ELAPSED TIME,Weronika SUROWIEC POSITION,Weronika SUROWIEC LAP TIME,Weronika SUROWIEC ELAPSED TIME
1,7.46,7.46,2,7.47,,4,7.93,7.93,3,7.72,7.72
4,24.92,32.38,3,11.00,,2,9.80,17.73,1,9.90,17.62
4,17.15,49.53,3,9.35,,2,9.57,27.30,1,9.59,27.21
4,13.74,1:03.27,3,9.29,,2,9.73,37.03,1,9.74,36.95
4,12.29,1:15.56,2,9.86,,3,24.93,1:01.96,1,9.90,46.85
