LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,HAN Jialiang POSITION,HAN Jialiang LAP TIME,HAN Jialiang ELAPSED TIME
1,12.61,12.61,2,12.70,12.70,4,12.86,12.86,3,12.73,12.73
1,9.27,21.88,3,9.21,21.91,4,9.31,22.17,2,9.15,21.88
2,9.17,31.05,3,9.20,31.11,4,9.04,31.21,1,9.08,30.96
2,9.86,40.91,3,9.82,40.93,4,9.89,41.10,1,9.83,40.79
1,9.62,50.53,2,9.68,50.61,3,9.60,50.70,4,10.85,51.64
1,9.15,59.68,2,9.14,59.75,3,9.18,59.88,4,9.30,1:00.94
1,9.06,1:08.74,2,9.07,1:08.82,3,9.05,1:08.93,4,9.25,1:10.19
1,9.07,1:17.81,2,9.06,1:17.88,3,9.08,1:18.01,4,9.61,1:19.80
1,9.26,1:27.062,0,,DQ,2,9.18,1:27.188,3,9.96,1:29.759
