Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Dariusz KULESZA POSITION,Dariusz KULESZA LAP TIME,Dariusz KULESZA ELAPSED TIME,Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME
2,13.65,13.65,1,13.54,13.54,3,13.90,13.90,4,14.06,14.06
3,10.74,24.39,1,10.71,24.25,4,10.54,24.44,2,10.31,24.37
3,10.26,34.65,1,10.17,34.42,4,10.31,34.75,2,10.12,34.49
3,10.28,44.93,1,10.22,44.64,4,10.19,44.94,2,10.39,44.88
4,9.80,54.73,1,9.77,54.41,2,9.72,54.66,3,9.79,54.67
2,9.45,1:04.18,1,9.52,1:03.93,4,9.77,1:04.43,3,9.68,1:04.35
1,9.15,1:13.33,2,9.41,1:13.34,3,9.29,1:13.72,4,9.51,1:13.86
1,9.13,1:22.46,2,9.22,1:22.56,3,9.27,1:22.99,4,9.34,1:23.20
2,9.49,1:31.942,1,9.15,1:31.709,4,9.94,1:32.924,3,9.65,1:32.849
