Michaela KUNCIROVA POSITION,Michaela KUNCIROVA LAP TIME,Michaela KUNCIROVA ELAPSED TIME,Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,KIKUCHI Yuki POSITION,KIKUCHI Yuki LAP TIME,KIKUCHI Yuki ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,TAO Jiaying POSITION,TAO Jiaying LAP TIME,TAO Jiaying ELAPSED TIME,Gioya LANCEE POSITION,Gioya LANCEE LAP TIME,Gioya LANCEE ELAPSED TIME,UZAKOVA Mariia-Mahdalyna POSITION,UZAKOVA Mariia-Mahdalyna LAP TIME,UZAKOVA Mariia-Mahdalyna ELAPSED TIME,Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME
3,10.48,10.48,4,10.67,10.67,2,10.33,10.33,5,10.82,10.82,7,11.05,11.05,1,10.16,10.16,6,10.97,10.97,8,11.22,11.22
4,14.10,24.58,5,14.05,24.72,1,14.00,24.33,6,13.98,24.80,3,13.42,24.47,2,14.30,24.46,7,13.97,24.94,8,13.91,25.13
4,11.65,36.23,5,11.64,36.36,2,11.71,36.04,6,11.65,36.45,1,11.43,35.90,3,11.67,36.13,7,11.62,36.56,8,11.59,36.72
4,11.23,47.46,5,11.22,47.58,2,11.19,47.23,6,11.21,47.66,1,11.20,47.10,3,11.21,47.34,7,11.22,47.78,8,11.14,47.86
5,11.04,58.50,6,11.02,58.60,2,11.02,58.25,7,11.06,58.72,1,11.00,58.10,4,11.01,58.35,8,11.08,58.86,3,10.41,58.27
6,10.04,1:08.54,5,9.90,1:08.50,4,10.24,1:08.49,7,9.87,1:08.59,1,10.05,1:08.15,3,10.12,1:08.47,8,10.06,1:08.92,2,10.16,1:08.43
6,10.08,1:18.62,3,9.71,1:18.21,7,10.27,1:18.76,5,9.74,1:18.33,1,9.90,1:18.05,2,9.72,1:18.19,8,9.94,1:18.86,4,9.85,1:18.28
6,9.83,1:28.45,2,9.83,1:28.04,7,9.77,1:28.53,3,9.79,1:28.12,1,9.90,1:27.95,4,10.02,1:28.21,8,10.13,1:28.99,5,10.07,1:28.35
7,10.66,1:39.11,2,10.45,1:38.49,6,10.46,1:38.99,3,10.45,1:38.57,1,10.43,1:38.38,4,10.48,1:38.69,8,10.59,1:39.58,5,10.45,1:38.80
7,10.56,1:49.67,1,9.98,1:48.47,6,10.12,1:49.11,3,10.16,1:48.73,2,10.26,1:48.64,4,10.17,1:48.86,8,10.81,1:50.39,5,10.20,1:49.00
7,10.65,2:00.32,1,10.06,1:58.53,6,9.97,1:59.08,3,10.03,1:58.76,2,10.01,1:58.65,4,10.01,1:58.87,8,11.20,2:01.59,5,9.99,1:58.99
7,11.13,2:11.45,2,9.96,2:08.49,6,10.01,2:09.09,3,9.90,2:08.66,1,9.83,2:08.48,4,9.92,2:08.79,8,11.81,2:13.40,5,9.97,2:08.96
7,11.79,2:23.24,2,9.77,2:18.26,6,9.96,2:19.05,3,9.85,2:18.51,1,9.67,2:18.15,4,9.99,2:18.78,8,12.61,2:26.01,5,9.93,2:18.89
7,12.36,2:35.60,2,9.77,2:28.03,5,10.34,2:29.39,3,10.22,2:28.73,1,9.77,2:27.92,4,10.34,2:29.12,8,13.09,2:39.10,6,10.56,2:29.45
