Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,NOH Jinkyu POSITION,NOH Jinkyu LAP TIME,NOH Jinkyu ELAPSED TIME,Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME
2,13.04,13.04,3,13.17,13.17,1,12.94,12.94,4,13.28,13.28
2,10.20,23.24,3,10.14,23.31,1,10.21,23.15,4,10.15,23.43
1,9.73,32.97,3,9.85,33.16,2,9.91,33.06,4,9.85,33.28
1,9.43,42.40,4,9.37,42.53,2,9.41,42.47,3,9.23,42.51
1,9.08,51.48,4,9.26,51.79,2,9.10,51.57,3,9.13,51.64
1,9.06,1:00.54,4,9.02,1:00.81,2,9.04,1:00.61,3,9.08,1:00.72
1,9.06,1:09.60,3,8.91,1:09.72,2,9.06,1:09.67,4,9.02,1:09.74
2,9.34,1:18.94,1,8.79,1:18.51,3,9.29,1:18.96,4,9.28,1:19.02
0,,PEN,1,9.46,1:27.962,2,9.49,1:28.445,3,9.55,1:28.561
