VALCEPINA Arianna POSITION,VALCEPINA Arianna LAP TIME,VALCEPINA Arianna ELAPSED TIME,HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME,Oliwia GAWLICA POSITION,Oliwia GAWLICA LAP TIME,Oliwia GAWLICA ELAPSED TIME,TIKHONOVA Olga POSITION,TIKHONOVA Olga LAP TIME,TIKHONOVA Olga ELAPSED TIME,Samantha MORRISON POSITION,Samantha MORRISON LAP TIME,Samantha MORRISON ELAPSED TIME
2,15.31,15.31,4,15.51,15.51,1,15.19,15.19,3,15.42,15.42,5,15.64,15.64
2,12.30,27.61,4,12.34,27.85,1,12.25,27.44,3,12.34,27.76,5,12.38,28.02
2,11.17,38.78,4,11.14,38.99,1,11.20,38.64,3,11.10,38.86,5,11.06,39.08
2,10.55,49.33,4,10.52,49.51,1,10.59,49.23,3,10.55,49.41,5,10.52,49.60
1,10.35,59.68,5,10.55,1:00.06,2,10.48,59.71,3,10.43,59.84,4,10.44,1:00.04
1,9.84,1:09.52,2,9.57,1:09.63,3,9.99,1:09.70,4,10.03,1:09.87,5,9.95,1:09.99
1,9.73,1:19.25,2,9.67,1:19.30,3,9.81,1:19.51,4,9.80,1:19.67,5,9.83,1:19.82
1,9.84,1:29.09,2,9.87,1:29.17,5,30.00,1:49.51,3,9.75,1:29.42,4,9.89,1:29.71
1,10.01,1:39.10,2,9.98,1:39.15,5,16.88,2:06.361,3,10.06,1:39.48,4,10.22,1:39.908
