CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME,PENCHEVA Zornica POSITION,PENCHEVA Zornica LAP TIME,PENCHEVA Zornica ELAPSED TIME,UZAKOVA Mariia-Mahdalyna POSITION,UZAKOVA Mariia-Mahdalyna LAP TIME,UZAKOVA Mariia-Mahdalyna ELAPSED TIME,KIKUCHI Sumire POSITION,KIKUCHI Sumire LAP TIME,KIKUCHI Sumire ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,Kim BOUTIN POSITION,Kim BOUTIN LAP TIME,Kim BOUTIN ELAPSED TIME
7,9.65,9.65,6,9.52,9.52,2,8.78,8.78,5,9.24,9.24,1,8.63,8.63,3,9.04,9.04,4,9.10,9.10
7,11.11,20.76,6,11.11,20.63,3,11.49,20.27,5,11.28,20.52,2,11.47,20.10,4,11.36,20.40,1,10.98,20.08
6,10.79,31.55,7,10.95,31.58,3,11.07,31.34,5,11.00,31.52,2,11.12,31.22,4,11.03,31.43,1,11.04,31.12
6,11.53,43.08,7,11.64,43.22,3,11.53,42.87,5,11.50,43.02,2,11.51,42.73,4,11.54,42.97,1,11.50,42.62
6,10.81,53.89,7,10.83,54.05,3,10.59,53.46,4,10.59,53.61,1,10.48,53.21,5,10.77,53.74,2,10.65,53.27
6,10.23,1:04.12,7,10.19,1:04.24,3,10.34,1:03.80,4,10.31,1:03.92,2,10.36,1:03.57,5,10.30,1:04.04,1,10.20,1:03.47
5,9.90,1:14.02,7,9.96,1:14.20,3,10.17,1:13.97,6,10.21,1:14.13,2,10.08,1:13.65,3,9.93,1:13.97,1,10.10,1:13.57
4,9.77,1:23.79,5,9.78,1:23.98,6,10.30,1:24.27,7,10.42,1:24.55,3,9.97,1:23.62,2,9.60,1:23.57,1,9.93,1:23.50
4,9.88,1:33.67,5,9.80,1:33.78,6,10.58,1:34.85,7,10.56,1:35.11,3,9.95,1:33.57,2,9.73,1:33.30,1,9.67,1:33.17
4,9.64,1:43.31,5,9.87,1:43.65,7,11.30,1:46.15,6,10.99,1:46.10,3,9.61,1:43.18,2,9.73,1:43.03,1,9.73,1:42.90
2,9.55,1:52.86,5,10.08,1:53.73,7,11.91,1:58.06,6,11.46,1:57.56,4,9.78,1:52.96,3,9.91,1:52.94,1,9.74,1:52.64
1,9.46,2:02.32,5,10.39,2:04.12,7,12.43,2:10.49,6,11.95,2:09.51,3,10.06,2:03.02,4,10.43,2:03.37,2,9.91,2:02.55
1,9.77,2:12.09,5,10.84,2:14.96,7,12.83,2:23.32,6,12.27,2:21.78,3,10.53,2:13.55,4,10.67,2:14.04,2,10.14,2:12.69
1,10.15,2:22.220,5,11.22,2:26.159,7,12.99,2:36.286,6,12.64,2:34.405,3,10.68,2:24.228,4,11.22,2:25.233,2,10.62,2:23.292
