Istvan GAL ORAVECZ POSITION,Istvan GAL ORAVECZ LAP TIME,Istvan GAL ORAVECZ ELAPSED TIME,Denis BRKIC POSITION,Denis BRKIC LAP TIME,Denis BRKIC ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Mathias VOSTE POSITION,Mathias VOSTE LAP TIME,Mathias VOSTE ELAPSED TIME
4,14.49,14.49,5,14.51,14.51,2,13.94,13.94,1,13.85,13.85,3,14.02,14.02
4,10.50,24.99,5,11.23,25.74,2,10.67,24.61,1,10.68,24.53,3,10.70,24.72
4,10.54,35.53,5,11.21,36.95,2,10.54,35.15,1,10.53,35.06,3,10.54,35.26
4,9.92,45.45,5,11.11,48.06,2,10.09,45.24,1,10.09,45.15,3,10.06,45.32
4,9.52,54.97,5,11.20,59.26,3,9.60,54.84,2,9.57,54.72,1,9.31,54.63
4,9.30,1:04.27,5,11.83,1:11.09,2,9.19,1:04.03,1,9.16,1:03.88,3,9.43,1:04.06
5,19.81,1:24.08,4,12.78,1:23.87,2,9.20,1:13.23,1,9.20,1:13.08,3,9.38,1:13.44
5,19.63,1:43.71,4,12.63,1:36.50,2,9.24,1:22.47,1,9.24,1:22.32,3,9.57,1:23.01
5,14.12,1:57.823,4,12.92,1:49.417,2,9.45,1:31.913,1,9.45,1:31.768,3,10.15,1:33.156
