Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Bence BERES POSITION,Bence BERES LAP TIME,Bence BERES ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,Jose CAVALLI POSITION,Jose CAVALLI LAP TIME,Jose CAVALLI ELAPSED TIME
1,6.91,6.91,3,7.17,7.17,4,7.39,7.39,2,7.06,7.06
1,9.25,16.16,2,9.28,16.45,3,9.17,16.56,4,9.57,16.63
1,8.65,24.81,3,8.90,25.35,2,8.59,25.15,4,9.30,25.93
1,8.78,33.59,3,9.03,34.38,2,8.52,33.67,4,9.41,35.34
2,9.06,42.650,3,9.75,44.122,1,8.91,42.577,4,9.80,45.132
