LIU Xiao Liang POSITION,LIU Xiao Liang LAP TIME,LIU Xiao Liang ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Jeff SIMON POSITION,Jeff SIMON LAP TIME,Jeff SIMON ELAPSED TIME,Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME,Fumihiko KAKUBARI POSITION,Fumihiko KAKUBARI LAP TIME,Fumihiko KAKUBARI ELAPSED TIME,Mathieu GIROUX POSITION,Mathieu GIROUX LAP TIME,Mathieu GIROUX ELAPSED TIME
4,8.370,8.370,5,8.630,8.630,6,9.100,9.100,3,8.300,8.300,2,8.220,8.220,1,7.920,7.920
4,11.700,20.080,6,11.750,20.380,5,10.990,20.100,2,11.470,19.770,1,11.530,19.750,3,11.980,19.910
2,9.940,30.030,6,10.240,30.620,4,10.020,30.120,1,9.970,29.740,5,10.470,30.220,3,10.170,30.080
2,9.820,39.860,6,9.490,40.110,4,9.900,40.020,1,9.830,39.580,5,9.870,40.100,3,9.780,39.870
2,10.130,49.990,6,10.430,50.550,4,10.280,50.310,1,8.630,48.210,5,10.280,50.380,3,10.330,50.200
3,9.950,59.940,6,9.650,1:00.210,4,9.650,59.960,2,11.720,59.930,5,9.730,1:00.120,1,9.690,59.890
1,9.710,1:09.660,6,9.790,1:10.000,3,9.810,1:09.780,5,9.930,1:09.860,2,9.600,1:09.720,4,9.890,1:09.780
6,9.880,1:19.550,5,9.470,1:19.480,3,9.560,1:19.340,2,9.440,1:19.310,4,9.630,1:19.360,1,9.440,1:19.220
6,9.590,1:29.140,5,9.540,1:29.020,4,9.670,1:29.020,1,9.360,1:28.670,3,9.650,1:29.010,2,9.620,1:28.850
6,9.510,1:38.650,4,9.470,1:38.500,2,9.410,1:38.430,1,9.290,1:37.970,5,9.600,1:38.610,3,9.600,1:38.450
5,9.410,1:48.060,4,9.420,1:47.930,3,9.270,1:47.700,1,9.360,1:47.340,6,9.550,1:48.170,2,9.230,1:47.690
4,8.840,1:56.910,5,9.020,1:56.950,3,9.200,1:56.910,1,9.370,1:56.710,6,9.020,1:57.190,2,9.050,1:56.740
4,9.310,2:06.220,3,8.990,2:05.950,1,8.830,2:05.740,6,10.540,2:07.260,5,9.080,2:06.280,2,9.100,2:05.840
5,9.880,2:16.110,2,9.090,2:15.050,1,9.170,2:14.920,6,9.780,2:17.040,4,9.510,2:15.790,3,9.300,2:15.150
