Safiya VLASOVA POSITION,Safiya VLASOVA LAP TIME,Safiya VLASOVA ELAPSED TIME,Olga BELYAKOVA POSITION,Olga BELYAKOVA LAP TIME,Olga BELYAKOVA ELAPSED TIME,Julia RIEDEL POSITION,Julia RIEDEL LAP TIME,Julia RIEDEL ELAPSED TIME,Marie-Eve DROLET POSITION,Marie-Eve DROLET LAP TIME,Marie-Eve DROLET ELAPSED TIME
2,7.30,7.30,3,7.56,7.56,4,7.70,7.70,1,7.28,7.28
2,10.10,17.40,3,9.99,17.55,4,9.95,17.65,1,9.88,17.16
3,9.87,27.27,2,9.72,27.27,4,9.80,27.45,1,9.60,26.76
3,9.89,37.16,2,9.70,36.97,4,9.79,37.24,1,9.40,36.16
3,10.09,47.248,2,9.90,46.862,4,10.08,47.320,1,10.03,46.184
