Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME
1,7.19,7.19,2,7.20,7.20,4,7.32,7.32,3,7.27,7.27
3,9.62,16.81,2,9.42,16.62,4,9.59,16.91,1,9.27,16.54
3,8.84,25.65,2,8.76,25.38,4,8.95,25.86,1,8.73,25.27
3,8.74,34.39,2,8.74,34.12,4,8.95,34.81,1,8.72,33.99
3,8.97,43.355,2,9.00,43.115,4,9.32,44.126,1,8.96,42.948
