SHI Jingnan POSITION,SHI Jingnan LAP TIME,SHI Jingnan ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,HAN Seung Soo POSITION,HAN Seung Soo LAP TIME,HAN Seung Soo ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME
1,6.86,6.86,2,6.98,6.98,3,7.13,7.13,4,7.28,7.28
1,8.69,15.55,2,8.79,15.77,3,8.71,15.84,4,8.69,15.97
1,8.34,23.89,3,8.33,24.10,2,8.22,24.06,4,8.21,24.18
2,8.47,32.36,4,8.59,32.69,1,8.28,32.34,3,8.42,32.60
2,8.63,40.989,4,8.69,41.374,1,8.52,40.859,3,8.50,41.094
