de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME,CHEN Dequan POSITION,CHEN Dequan LAP TIME,CHEN Dequan ELAPSED TIME,LEE Hyo Been POSITION,LEE Hyo Been LAP TIME,LEE Hyo Been ELAPSED TIME,Yoan GAUTHIER POSITION,Yoan GAUTHIER LAP TIME,Yoan GAUTHIER ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,Alexander FATHOULLIN POSITION,Alexander FATHOULLIN LAP TIME,Alexander FATHOULLIN ELAPSED TIME
3,11.03,11.03,4,11.04,11.04,1,10.86,10.86,6,11.64,11.64,2,11.00,11.00,5,11.47,11.47,7,11.82,11.82
4,15.23,26.26,1,14.75,25.79,3,15.22,26.08,6,14.86,26.50,2,15.08,26.08,5,14.90,26.37,7,14.93,26.75
4,15.39,41.65,1,15.29,41.08,3,15.46,41.54,6,15.52,42.02,2,15.15,41.23,5,15.47,41.84,7,15.49,42.24
5,15.25,56.90,1,15.22,56.30,4,15.21,56.75,6,15.01,57.03,2,15.22,56.45,3,14.84,56.68,7,14.93,57.17
5,14.14,1:11.04,1,14.06,1:10.36,4,14.15,1:10.90,6,14.06,1:11.09,2,14.00,1:10.45,3,13.90,1:10.58,7,14.06,1:11.23
5,13.38,1:24.42,4,13.95,1:24.31,2,13.29,1:24.19,6,13.38,1:24.47,3,13.81,1:24.26,1,13.58,1:24.16,7,13.59,1:24.82
5,11.27,1:35.69,4,11.20,1:35.51,1,11.07,1:35.26,6,11.37,1:35.84,2,11.09,1:35.35,3,11.20,1:35.36,7,11.21,1:36.03
5,9.98,1:45.67,2,9.92,1:45.43,1,10.08,1:45.34,6,9.90,1:45.74,3,10.13,1:45.48,4,10.23,1:45.59,7,9.87,1:45.90
4,9.82,1:55.49,2,9.84,1:55.27,1,9.82,1:55.16,6,9.86,1:55.60,3,9.90,1:55.38,5,10.00,1:55.59,7,9.89,1:55.79
5,9.66,2:05.15,3,9.67,2:04.94,1,9.67,2:04.83,2,9.27,2:04.87,4,9.70,2:05.08,6,9.62,2:05.21,7,9.54,2:05.33
5,9.33,2:14.48,2,9.23,2:14.17,1,9.30,2:14.13,3,9.32,2:14.19,4,9.26,2:14.34,6,9.29,2:14.50,7,9.33,2:14.66
7,9.73,2:24.21,2,9.30,2:23.47,1,9.20,2:23.33,4,9.57,2:23.76,3,9.39,2:23.73,6,9.43,2:23.93,5,9.14,2:23.80
7,9.47,2:33.68,2,9.26,2:32.73,1,9.31,2:32.64,4,9.44,2:33.20,3,9.37,2:33.10,6,9.33,2:33.26,5,9.42,2:33.22
6,9.85,2:43.524,2,9.32,2:42.046,1,9.39,2:42.030,0,,PEN,3,9.37,2:42.467,5,9.67,2:42.921,4,9.35,2:42.564
