Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Gabor GALAMBOS POSITION,Gabor GALAMBOS LAP TIME,Gabor GALAMBOS ELAPSED TIME,Mark JACKSON POSITION,Mark JACKSON LAP TIME,Mark JACKSON ELAPSED TIME,Milos VIGAS POSITION,Milos VIGAS LAP TIME,Milos VIGAS ELAPSED TIME
1,8.58,8.58,3,9.19,9.19,2,9.02,9.02,4,9.34,9.34,5,9.43,9.43
1,11.71,20.29,3,11.55,20.74,4,11.73,20.75,5,11.48,20.82,2,11.12,20.55
1,10.30,30.59,2,10.00,30.74,4,10.40,31.15,5,10.38,31.20,3,10.38,30.93
1,10.18,40.77,2,10.28,41.02,4,10.00,41.15,5,10.02,41.22,3,10.14,41.07
1,10.09,50.86,2,10.21,51.23,4,10.26,51.41,5,10.23,51.45,3,10.29,51.36
1,10.12,1:00.98,4,10.16,1:01.39,3,9.81,1:01.22,5,10.09,1:01.54,2,9.84,1:01.20
1,9.35,1:10.33,3,9.37,1:10.76,2,9.27,1:10.49,5,9.34,1:10.88,4,9.59,1:10.79
1,9.60,1:19.93,3,9.56,1:20.32,2,9.82,1:20.31,4,9.44,1:20.32,5,9.59,1:20.38
1,9.29,1:29.22,5,9.45,1:29.77,4,9.39,1:29.70,2,9.26,1:29.58,3,9.31,1:29.69
1,9.45,1:38.67,4,9.36,1:39.13,3,9.36,1:39.06,2,9.46,1:39.04,5,9.75,1:39.44
1,9.59,1:48.26,3,9.52,1:48.65,2,9.55,1:48.61,4,9.62,1:48.66,5,9.82,1:49.26
1,9.29,1:57.55,2,9.50,1:58.15,4,9.58,1:58.19,3,9.52,1:58.18,5,9.86,1:59.12
1,9.59,2:07.14,2,9.53,2:07.68,3,9.51,2:07.70,4,9.59,2:07.77,5,10.19,2:09.31
1,10.24,2:17.371,3,9.90,2:17.579,2,9.83,2:17.525,4,9.92,2:17.690,5,10.60,2:19.910
