Jeroen SONNEVELD POSITION,Jeroen SONNEVELD LAP TIME,Jeroen SONNEVELD ELAPSED TIME,Azamat SULTANALIYEV POSITION,Azamat SULTANALIYEV LAP TIME,Azamat SULTANALIYEV ELAPSED TIME,Travis JAYNER POSITION,Travis JAYNER LAP TIME,Travis JAYNER ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,GONG Qiuwen POSITION,GONG Qiuwen LAP TIME,GONG Qiuwen ELAPSED TIME,Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME
5,9.33,9.33,6,9.41,9.41,4,9.17,9.17,2,8.88,8.88,3,9.00,9.00,1,8.82,8.82
5,13.08,22.41,6,13.11,22.52,4,13.12,22.29,2,13.16,22.04,3,13.14,22.14,1,13.10,21.92
5,12.77,35.18,6,12.78,35.30,4,12.75,35.04,2,12.74,34.78,3,12.78,34.92,1,12.73,34.65
5,12.70,47.88,6,12.70,48.00,4,12.76,47.80,2,12.74,47.52,3,12.73,47.65,1,12.78,47.43
5,12.82,1:00.70,6,12.72,1:00.72,4,12.80,1:00.60,2,12.78,1:00.30,3,12.79,1:00.44,1,12.74,1:00.17
5,11.91,1:12.61,6,12.02,1:12.74,3,11.73,1:12.33,2,11.99,1:12.29,4,11.99,1:12.43,1,12.07,1:12.24
5,10.85,1:23.46,6,10.84,1:23.58,4,10.98,1:23.31,2,10.90,1:23.19,3,10.84,1:23.27,1,10.86,1:23.10
5,10.36,1:33.82,6,10.39,1:33.97,4,10.42,1:33.73,2,10.31,1:33.50,3,10.34,1:33.61,1,10.33,1:33.43
5,10.14,1:43.96,6,10.01,1:43.98,4,10.14,1:43.87,2,10.17,1:43.67,3,10.17,1:43.78,1,10.14,1:43.57
5,9.89,1:53.85,6,10.10,1:54.08,4,9.81,1:53.68,2,9.82,1:53.49,3,9.82,1:53.60,1,9.86,1:53.43
5,9.66,2:03.51,6,9.75,2:03.83,4,9.73,2:03.41,2,9.66,2:03.15,3,9.67,2:03.27,1,9.65,2:03.08
5,9.30,2:12.81,6,10.18,2:14.01,3,9.06,2:12.47,2,9.31,2:12.46,4,9.21,2:12.48,1,9.30,2:12.38
5,9.32,2:22.13,6,10.98,2:24.99,2,9.28,2:21.75,3,9.39,2:21.85,4,9.55,2:22.03,1,9.25,2:21.63
3,9.72,2:31.845,4,11.77,2:36.751,0,,PEN,1,9.42,2:31.264,2,9.55,2:31.577,5,21.83,2:43.455
