Wim de DEYNE POSITION,Wim de DEYNE LAP TIME,Wim de DEYNE ELAPSED TIME,Serge PLANCHER POSITION,Serge PLANCHER LAP TIME,Serge PLANCHER ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,Jean-Francois MONETTE POSITION,Jean-Francois MONETTE LAP TIME,Jean-Francois MONETTE ELAPSED TIME
1,6.756,6.756,4,7.083,7.083,3,7.053,7.053,2,6.994,6.994
1,8.950,15.706,4,9.347,16.430,2,8.787,15.840,3,8.970,15.964
1,8.628,24.334,4,8.340,24.770,2,8.562,24.403,3,8.607,24.571
3,12.269,36.603,2,9.212,33.982,1,9.145,33.547,4,13.846,38.417
4,32.178,1:08.781,2,9.579,43.561,1,9.303,42.850,3,15.946,54.364
