Ayuko ITO POSITION,Ayuko ITO LAP TIME,Ayuko ITO ELAPSED TIME,Caroline TRUCHON POSITION,Caroline TRUCHON LAP TIME,Caroline TRUCHON ELAPSED TIME,Julia RIEDEL POSITION,Julia RIEDEL LAP TIME,Julia RIEDEL ELAPSED TIME,Alix-Myra ANDERSON POSITION,Alix-Myra ANDERSON LAP TIME,Alix-Myra ANDERSON ELAPSED TIME,Ekaterina BARANOK POSITION,Ekaterina BARANOK LAP TIME,Ekaterina BARANOK ELAPSED TIME
1,9.51,9.51,2,9.65,9.65,4,9.77,9.77,5,9.95,9.95,3,9.66,9.66
1,13.64,23.15,3,13.73,23.38,4,13.76,23.53,5,13.71,23.66,2,13.59,23.25
1,13.69,36.84,3,13.72,37.10,4,13.73,37.26,5,13.76,37.42,2,13.72,36.97
1,13.56,50.40,3,13.55,50.65,4,13.54,50.80,5,13.52,50.94,2,13.56,50.53
1,12.74,1:03.14,3,12.75,1:03.40,4,12.75,1:03.55,5,12.73,1:03.67,2,12.76,1:03.29
1,12.21,1:15.35,3,12.12,1:15.52,4,12.11,1:15.66,5,12.12,1:15.79,2,12.13,1:15.42
1,12.34,1:27.69,3,12.38,1:27.90,4,12.36,1:28.02,5,12.28,1:28.07,2,12.38,1:27.80
1,12.37,1:40.06,3,12.38,1:40.28,4,12.37,1:40.39,5,12.44,1:40.51,2,12.38,1:40.18
1,10.89,1:50.95,3,10.86,1:51.14,4,10.88,1:51.27,5,10.87,1:51.38,2,10.84,1:51.02
1,10.09,2:01.04,3,10.06,2:01.20,4,10.03,2:01.30,5,10.02,2:01.40,2,10.11,2:01.13
1,10.07,2:11.11,3,10.10,2:11.30,4,10.10,2:11.40,5,10.12,2:11.52,2,10.09,2:11.22
1,9.80,2:20.91,2,9.64,2:20.94,4,9.73,2:21.13,5,9.79,2:21.31,3,9.77,2:20.99
5,47.75,3:08.66,3,9.97,2:30.91,2,9.73,2:30.86,4,9.77,2:31.08,1,9.80,2:30.79
4,22.42,3:31.073,0,,YC,2,10.05,2:40.910,3,10.00,2:41.072,1,10.02,2:40.807
