Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,BLACKBURN Mackenzie POSITION,BLACKBURN Mackenzie LAP TIME,BLACKBURN Mackenzie ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME
1,6.76,6.76,2,6.92,6.92,3,7.10,7.10,4,7.25,7.25
1,8.97,15.73,2,8.96,15.88,3,8.97,16.07,4,9.04,16.29
1,8.75,24.48,2,8.68,24.56,3,8.54,24.61,4,8.57,24.86
1,8.87,33.35,3,9.01,33.57,2,8.90,33.51,4,8.74,33.60
0,,PEN,2,9.28,42.846,1,9.07,42.575,3,9.32,42.918
