AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME,Nicola FRANCESCHINA POSITION,Nicola FRANCESCHINA LAP TIME,Nicola FRANCESCHINA ELAPSED TIME,Eric BEDARD POSITION,Eric BEDARD LAP TIME,Eric BEDARD ELAPSED TIME,Alexander GERTSIKOV POSITION,Alexander GERTSIKOV LAP TIME,Alexander GERTSIKOV ELAPSED TIME
1,13.743,13.743,4,13.900,13.900,2,13.745,13.745,3,13.871,13.871
3,10.261,24.003,2,10.104,24.003,1,10.187,23.932,4,10.397,24.268
1,10.213,34.216,3,10.317,34.320,2,10.311,34.242,4,10.466,34.733
1,9.501,43.717,3,9.523,43.842,2,9.595,43.837,4,9.402,44.135
1,9.202,52.919,2,9.167,53.009,3,9.173,53.009,4,9.236,53.371
2,9.127,1:02.045,1,8.951,1:01.960,3,9.158,1:02.167,4,8.922,1:02.293
2,9.077,1:11.121,1,9.045,1:11.005,3,9.185,1:11.352,4,9.202,1:11.494
1,8.860,1:19.981,2,9.086,1:20.090,3,8.944,1:20.296,4,9.135,1:20.628
1,9.26,1:29.235,3,9.24,1:29.323,2,9.01,1:29.299,4,9.04,1:29.662
