SONG Jia Hua POSITION,SONG Jia Hua LAP TIME,SONG Jia Hua ELAPSED TIME,HWANG Dae Heon POSITION,HWANG Dae Heon LAP TIME,HWANG Dae Heon ELAPSED TIME,DANDJINOU William POSITION,DANDJINOU William LAP TIME,DANDJINOU William ELAPSED TIME,KOIKE Katsunori POSITION,KOIKE Katsunori LAP TIME,KOIKE Katsunori ELAPSED TIME,HEO Andrew POSITION,HEO Andrew LAP TIME,HEO Andrew ELAPSED TIME
3,7.14,7.14,1,6.77,6.77,2,6.95,6.95,4,7.20,7.20,5,7.34,7.34
3,9.04,16.18,1,8.78,15.55,2,8.78,15.73,4,9.15,16.35,5,9.07,16.41
3,8.62,24.80,1,8.31,23.86,2,8.45,24.18,4,8.57,24.92,5,8.68,25.09
5,17.52,42.32,1,8.34,32.20,2,8.59,32.77,3,8.53,33.45,4,8.63,33.72
5,0.07,42.25,1,8.55,40.75,2,8.86,41.63,4,8.81,42.262,5,8.90,42.626
