Thomas BAUER POSITION,Thomas BAUER LAP TIME,Thomas BAUER ELAPSED TIME,Assen PANDOV POSITION,Assen PANDOV LAP TIME,Assen PANDOV ELAPSED TIME,Satoru TERAO POSITION,Satoru TERAO LAP TIME,Satoru TERAO ELAPSED TIME,LI Jiajun POSITION,LI Jiajun LAP TIME,LI Jiajun ELAPSED TIME
1,15.085,15.085,3,15.231,15.231,2,15.158,15.158,4,15.394,15.394
4,12.337,27.422,3,12.175,27.405,2,12.158,27.315,1,11.763,27.157
4,10.805,38.226,3,10.790,38.195,1,10.682,37.996,2,10.989,38.145
1,9.366,47.591,4,9.653,47.848,2,9.620,47.616,3,9.645,47.789
4,9.638,57.229,2,9.288,57.136,1,9.346,56.962,3,9.408,57.197
2,9.146,1:06.374,4,9.446,1:06.581,1,9.235,1:06.196,3,9.211,1:06.408
2,9.308,1:15.682,4,9.516,1:16.097,1,9.389,1:15.585,3,9.280,1:15.687
3,9.546,1:25.228,4,9.204,1:25.301,2,9.440,1:25.024,1,9.307,1:24.994
3,10.02,1:35.240,4,10.23,1:35.523,1,9.32,1:34.340,2,9.50,1:34.491
