Billy SIMMS POSITION,Billy SIMMS LAP TIME,Billy SIMMS ELAPSED TIME,Armstrong LAZENBY POSITION,Armstrong LAZENBY LAP TIME,Armstrong LAZENBY ELAPSED TIME,TRAN Aaron POSITION,TRAN Aaron LAP TIME,TRAN Aaron ELAPSED TIME,HANDEI Volodymyr POSITION,HANDEI Volodymyr LAP TIME,HANDEI Volodymyr ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME,Yoan GAUTHIER POSITION,Yoan GAUTHIER LAP TIME,Yoan GAUTHIER ELAPSED TIME
1,9.85,9.85,3,10.13,10.13,2,10.00,10.00,4,10.26,10.26,5,10.42,10.42,6,10.59,10.59
1,14.96,24.81,5,15.35,25.48,2,14.97,24.97,4,15.01,25.27,3,14.70,25.12,6,15.05,25.64
1,14.10,38.91,5,14.06,39.54,2,14.10,39.07,4,14.05,39.32,3,14.08,39.20,6,14.04,39.68
1,13.66,52.57,5,13.69,53.23,2,13.67,52.74,4,13.68,53.00,3,13.68,52.88,6,13.71,53.39
1,12.95,1:05.52,3,12.43,1:05.66,2,12.90,1:05.64,5,12.85,1:05.85,4,12.87,1:05.75,6,12.51,1:05.90
1,11.06,1:16.58,2,10.95,1:16.61,5,11.16,1:16.80,4,10.92,1:16.77,3,10.95,1:16.70,6,10.98,1:16.88
1,10.85,1:27.43,2,10.90,1:27.51,6,11.02,1:27.82,4,10.90,1:27.67,3,10.88,1:27.58,5,10.83,1:27.71
2,10.10,1:37.53,4,10.24,1:37.75,6,10.20,1:38.02,5,10.28,1:37.95,3,10.04,1:37.62,1,9.36,1:37.07
2,9.23,1:46.76,4,9.36,1:47.11,5,9.53,1:47.55,6,9.96,1:47.91,3,9.23,1:46.85,1,9.41,1:46.48
2,9.25,1:56.01,4,9.40,1:56.51,5,9.42,1:56.97,6,10.21,1:58.12,3,9.26,1:56.11,1,9.36,1:55.84
3,9.64,2:05.65,4,9.72,2:06.23,5,9.54,2:06.51,6,10.71,2:08.83,2,9.39,2:05.50,1,9.33,2:05.17
3,9.62,2:15.27,5,10.22,2:16.45,4,9.78,2:16.29,6,11.27,2:20.10,2,9.62,2:15.12,1,9.60,2:14.77
3,9.89,2:25.16,5,10.55,2:27.00,4,10.41,2:26.70,6,11.67,2:31.77,2,9.76,2:24.88,1,9.91,2:24.68
3,10.23,2:35.385,5,10.56,2:37.551,4,10.85,2:37.542,6,12.34,2:44.109,2,10.20,2:35.071,1,10.17,2:34.849
