HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,TRAN Aaron POSITION,TRAN Aaron LAP TIME,TRAN Aaron ELAPSED TIME,YOSHINAGA Kazuki POSITION,YOSHINAGA Kazuki LAP TIME,YOSHINAGA Kazuki ELAPSED TIME
2,12.67,12.67,1,12.54,12.54,3,12.77,12.77,3,12.77,12.77,5,12.79,12.79
3,9.36,22.03,2,9.42,21.96,5,9.55,22.32,4,9.39,22.16,1,9.06,21.85
3,9.40,31.43,2,9.37,31.33,5,9.32,31.64,3,9.27,31.43,1,9.41,31.26
4,9.16,40.59,3,9.12,40.45,5,9.13,40.77,1,8.85,40.28,2,9.18,40.44
4,8.90,49.49,2,8.85,49.30,5,8.84,49.61,1,8.91,49.19,3,8.98,49.42
4,8.80,58.29,1,8.66,57.96,5,8.78,58.39,2,8.79,57.98,3,8.78,58.20
3,8.50,1:06.79,1,8.62,1:06.58,5,8.54,1:06.93,2,8.73,1:06.71,4,8.60,1:06.80
5,9.05,1:15.84,1,8.68,1:15.26,4,8.71,1:15.64,2,8.64,1:15.35,3,8.70,1:15.50
5,8.85,1:24.69,1,8.76,1:24.02,4,8.65,1:24.29,3,8.85,1:24.20,2,8.60,1:24.10
