Fumihiko KAKUBARI POSITION,Fumihiko KAKUBARI LAP TIME,Fumihiko KAKUBARI ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Mark JACKSON POSITION,Mark JACKSON LAP TIME,Mark JACKSON ELAPSED TIME,Munkhdori GANTUMUR POSITION,Munkhdori GANTUMUR LAP TIME,Munkhdori GANTUMUR ELAPSED TIME,Kiril PANDOV POSITION,Kiril PANDOV LAP TIME,Kiril PANDOV ELAPSED TIME
1,9.53,9.53,2,9.66,9.66,3,9.71,9.71,4,9.79,9.79,5,9.94,9.94
2,12.68,22.21,3,12.82,22.48,1,12.36,22.07,4,12.78,22.57,5,12.89,22.83
2,12.20,34.41,3,12.05,34.53,1,12.26,34.33,4,11.97,34.54,5,11.99,34.82
2,12.16,46.57,3,12.18,46.71,1,12.10,46.43,4,12.31,46.85,5,12.41,47.23
2,12.41,58.98,4,12.52,59.23,1,12.45,58.88,5,12.54,59.39,3,11.91,59.14
1,12.24,1:11.22,4,12.27,1:11.50,2,12.36,1:11.24,5,12.17,1:11.56,3,12.10,1:11.24
2,11.70,1:22.92,5,11.62,1:23.12,1,11.43,1:22.67,4,11.52,1:23.08,3,11.72,1:22.96
1,10.37,1:33.29,4,10.71,1:33.83,2,10.89,1:33.56,5,10.97,1:34.05,3,10.78,1:33.74
1,10.77,1:44.06,4,10.65,1:44.48,2,10.54,1:44.10,5,10.53,1:44.58,3,10.65,1:44.39
1,10.18,1:54.24,3,10.17,1:54.65,2,10.26,1:54.36,5,10.41,1:54.99,4,10.27,1:54.66
1,10.03,2:04.27,4,10.03,2:04.68,2,10.03,2:04.39,5,10.62,2:05.61,3,9.85,2:04.51
1,9.41,2:13.68,4,9.56,2:14.24,2,9.51,2:13.90,5,11.15,2:16.76,3,9.39,2:13.90
1,9.35,2:23.03,4,9.24,2:23.48,2,9.34,2:23.24,5,11.61,2:28.37,3,9.50,2:23.40
1,9.51,2:32.532,2,9.13,2:32.606,3,9.42,2:32.659,5,12.47,2:40.839,4,9.55,2:32.945
