Nihad BASIC POSITION,Nihad BASIC LAP TIME,Nihad BASIC ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,NOH Jinkyu POSITION,NOH Jinkyu LAP TIME,NOH Jinkyu ELAPSED TIME,Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME
1,8.55,8.55,3,8.89,8.89,4,9.09,9.09,6,9.54,9.54,2,8.68,8.68,5,9.25,9.25
1,11.35,19.90,3,11.27,20.16,4,11.26,20.35,6,11.32,20.86,2,11.36,20.04,5,11.22,20.47
1,10.97,30.87,3,10.90,31.06,4,10.90,31.25,6,10.74,31.60,2,10.94,30.98,5,10.91,31.38
1,11.09,41.96,3,11.13,42.19,4,11.12,42.37,6,11.06,42.66,2,11.10,42.08,5,11.12,42.50
1,11.04,53.00,2,10.91,53.10,4,10.90,53.27,6,10.83,53.49,3,11.02,53.10,5,10.88,53.38
4,10.88,1:03.88,1,10.57,1:03.67,6,10.85,1:04.12,5,10.51,1:04.00,2,10.68,1:03.78,3,10.49,1:03.87
3,10.08,1:13.96,5,10.46,1:14.13,6,10.12,1:14.24,4,10.10,1:14.10,2,10.12,1:13.90,1,9.97,1:13.84
5,10.33,1:24.29,6,10.39,1:24.52,2,9.77,1:24.01,1,9.86,1:23.96,4,10.36,1:24.26,3,10.21,1:24.05
5,9.98,1:34.27,6,9.86,1:34.38,1,9.60,1:33.61,2,9.85,1:33.81,4,9.65,1:33.91,3,9.84,1:33.89
5,9.84,1:44.11,6,9.93,1:44.31,1,10.16,1:43.77,2,10.06,1:43.87,4,10.18,1:44.09,3,10.07,1:43.96
5,10.29,1:54.40,6,10.13,1:54.44,2,9.72,1:53.49,1,9.41,1:53.28,4,9.70,1:53.79,3,9.80,1:53.76
6,10.66,2:05.06,5,10.37,2:04.81,2,8.91,2:02.40,1,8.90,2:02.18,4,9.63,2:03.42,3,9.33,2:03.09
6,10.95,2:16.01,5,10.93,2:15.74,2,8.97,2:11.37,1,8.99,2:11.17,4,10.38,2:13.80,3,9.38,2:12.47
0,,PEN,4,11.15,2:26.889,2,9.57,2:20.932,1,9.32,2:20.489,0,,PEN,3,9.90,2:22.364
