Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,LI Jiajun POSITION,LI Jiajun LAP TIME,LI Jiajun ELAPSED TIME,Volodymyr GRYGORIEV POSITION,Volodymyr GRYGORIEV LAP TIME,Volodymyr GRYGORIEV ELAPSED TIME,Tomas GRESCHNER POSITION,Tomas GRESCHNER LAP TIME,Tomas GRESCHNER ELAPSED TIME
2,12.988,12.988,1,12.905,12.905,3,13.049,13.049,4,13.281,13.281
2,9.822,22.810,1,9.841,22.745,3,9.835,22.883,4,9.793,23.074
3,9.865,32.674,1,9.657,32.402,2,9.754,32.636,4,9.806,32.879
2,9.555,42.229,1,9.799,42.201,3,9.605,42.241,4,9.658,42.537
1,9.293,51.521,2,9.444,51.644,3,9.416,51.656,4,9.372,51.908
1,9.508,1:01.029,4,9.598,1:01.242,2,9.514,1:01.169,3,9.316,1:01.224
1,9.765,1:10.794,2,9.603,1:10.845,3,9.681,1:10.850,4,9.909,1:11.133
1,9.593,1:20.387,2,9.629,1:20.474,3,9.718,1:20.567,4,9.644,1:20.776
1,9.51,1:29.894,2,9.53,1:30.004,3,9.66,1:30.227,4,9.86,1:30.635
