HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,SHULGINOV Alexander POSITION,SHULGINOV Alexander LAP TIME,SHULGINOV Alexander ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME
2,12.08,12.08,3,12.14,12.14,4,12.41,12.41,1,11.98,11.98
3,8.83,20.91,2,8.76,20.90,4,8.71,21.12,1,8.81,20.79
2,8.88,29.79,3,8.99,29.89,4,8.89,30.01,1,8.85,29.64
2,8.85,38.64,3,8.82,38.71,4,8.80,38.81,1,8.91,38.55
2,8.81,47.45,4,8.99,47.70,3,8.80,47.61,1,8.81,47.36
2,8.91,56.36,3,8.80,56.50,4,8.91,56.52,1,8.92,56.28
2,8.87,1:05.23,3,8.91,1:05.41,4,9.80,1:06.32,1,8.85,1:05.13
2,8.99,1:14.22,3,9.00,1:14.41,4,11.70,1:18.02,1,9.07,1:14.20
1,9.18,1:23.40,0,9.07,1:23.48,4,13.11,1:31.13,0,9.26,1:23.46
