LI Jianrou POSITION,LI Jianrou LAP TIME,LI Jianrou ELAPSED TIME,KIM Alang POSITION,KIM Alang LAP TIME,KIM Alang ELAPSED TIME,Jessica HEWITT POSITION,Jessica HEWITT LAP TIME,Jessica HEWITT ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME
2,13.07,13.07,3,13.20,13.20,1,12.93,12.93,4,13.30,13.30
2,10.12,23.19,3,10.10,23.30,1,10.13,23.06,4,10.12,23.42
2,10.21,33.40,3,10.22,33.52,1,10.17,33.23,4,10.21,33.63
2,10.00,43.40,3,9.99,43.51,1,10.03,43.26,4,9.98,43.61
2,9.72,53.12,3,9.70,53.21,1,9.71,52.97,4,9.71,53.32
2,9.60,1:02.72,3,9.62,1:02.83,1,9.65,1:02.62,4,9.66,1:02.98
2,9.51,1:12.23,3,9.50,1:12.33,1,9.52,1:12.14,4,9.45,1:12.43
1,9.36,1:21.59,2,9.36,1:21.69,3,9.55,1:21.69,4,9.38,1:21.81
2,9.44,1:31.025,1,9.14,1:30.822,4,9.78,1:31.467,3,9.28,1:31.089
