Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME,KIM Joon Chun POSITION,KIM Joon Chun LAP TIME,KIM Joon Chun ELAPSED TIME,Hiroki YOKOYAMA POSITION,Hiroki YOKOYAMA LAP TIME,Hiroki YOKOYAMA ELAPSED TIME,JUNG Hyun Woo (Andy) POSITION,JUNG Hyun Woo (Andy) LAP TIME,JUNG Hyun Woo (Andy) ELAPSED TIME
3,7.17,7.17,1,6.93,6.93,2,7.05,7.05,4,7.29,7.29
3,8.97,16.14,1,9.05,15.98,2,9.01,16.06,4,9.00,16.29
2,8.61,24.75,1,8.60,24.58,3,8.74,24.80,4,8.59,24.88
1,8.64,33.39,1,8.81,33.39,3,8.94,33.74,4,9.08,33.96
1,9.00,42.39,0,9.21,42.60,0,8.85,42.59,4,8.93,42.897
