HWANG Dae Heon POSITION,HWANG Dae Heon LAP TIME,HWANG Dae Heon ELAPSED TIME,Casey MULLARKEY POSITION,Casey MULLARKEY LAP TIME,Casey MULLARKEY ELAPSED TIME,SHA Kexin POSITION,SHA Kexin LAP TIME,SHA Kexin ELAPSED TIME,Hironobu MURATAKE POSITION,Hironobu MURATAKE LAP TIME,Hironobu MURATAKE ELAPSED TIME,Jason CLAGUE POSITION,Jason CLAGUE LAP TIME,Jason CLAGUE ELAPSED TIME
1,6.91,6.91,2,7.06,7.06,4,7.30,7.30,3,7.18,7.18,5,7.58,7.58
1,9.01,15.92,2,9.03,16.09,4,9.18,16.48,3,9.00,16.18,5,9.33,16.91
1,8.54,24.46,2,8.51,24.60,4,8.81,25.29,3,8.52,24.70,5,8.96,25.87
2,8.84,33.30,1,8.66,33.26,4,9.02,34.31,3,8.61,33.31,5,9.23,35.10
0,,PHOTO,0,,PHOTO,4,9.23,43.54,3,9.37,42.68,5,9.57,44.67
