Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,PROSVIRNOVA Sofia POSITION,PROSVIRNOVA Sofia LAP TIME,PROSVIRNOVA Sofia ELAPSED TIME
1,13.76,13.76,2,13.77,13.77,3,13.85,13.85,4,14.02,14.02
3,10.81,24.57,1,10.68,24.45,2,10.70,24.55,4,10.70,24.72
2,10.12,34.69,3,10.26,34.71,1,10.07,34.62,4,10.06,34.78
1,9.73,44.42,4,9.95,44.66,2,9.90,44.52,3,9.81,44.59
1,9.86,54.28,4,9.82,54.48,2,9.84,54.36,3,9.84,54.43
1,9.69,1:03.97,3,9.75,1:04.23,2,9.72,1:04.08,4,9.90,1:04.33
1,9.59,1:13.56,4,9.50,1:13.73,2,9.56,1:13.64,3,9.39,1:13.72
1,9.65,1:23.21,3,9.98,1:23.71,2,9.66,1:23.30,4,11.31,1:25.03
1,9.78,1:32.983,0,,PEN,2,9.73,1:33.022,3,11.50,1:36.521
