HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,Eduard STRELKOV POSITION,Eduard STRELKOV LAP TIME,Eduard STRELKOV ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME,Claude GILBERT POSITION,Claude GILBERT LAP TIME,Claude GILBERT ELAPSED TIME
2,7.01,7.01,1,6.90,6.90,3,7.13,7.13,4,7.23,7.23
2,9.15,16.16,1,9.17,16.07,3,9.14,16.27,4,9.32,16.55
1,8.67,24.83,2,8.85,24.92,3,8.76,25.03,4,8.64,25.19
1,8.81,33.64,2,9.12,34.04,4,9.30,34.33,3,8.97,34.16
1,8.93,42.567,0,,PEN,2,9.41,43.738,0,,PEN
