DESMET Hanne POSITION,DESMET Hanne LAP TIME,DESMET Hanne ELAPSED TIME,Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME,KONSTANTINOVA Ekaterina POSITION,KONSTANTINOVA Ekaterina LAP TIME,KONSTANTINOVA Ekaterina ELAPSED TIME,Oliwia GAWLICA POSITION,Oliwia GAWLICA LAP TIME,Oliwia GAWLICA ELAPSED TIME
1,14.56,14.56,2,14.66,14.66,3,14.82,14.82,4,14.92,14.92
1,11.56,26.12,2,11.57,26.23,3,11.53,26.35,4,11.54,26.46
1,10.93,37.05,2,10.85,37.08,3,10.86,37.21,4,10.81,37.27
3,10.00,47.05,1,9.67,46.75,2,9.63,46.84,4,9.89,47.16
3,9.54,56.59,1,9.66,56.41,2,9.69,56.53,4,9.57,56.73
3,9.74,1:06.33,1,9.66,1:06.07,2,9.67,1:06.20,4,9.68,1:06.41
3,9.55,1:15.88,1,9.66,1:15.73,2,9.65,1:15.85,4,9.62,1:16.03
4,20.95,1:36.83,1,9.68,1:25.41,2,9.70,1:25.55,3,20.61,1:36.64
4,24.04,2:00.87,1,9.95,1:35.36,2,9.89,1:35.44,3,21.82,1:58.46
