Stephen LEE POSITION,Stephen LEE LAP TIME,Stephen LEE ELAPSED TIME,Oliver HORSEPOOL POSITION,Oliver HORSEPOOL LAP TIME,Oliver HORSEPOOL ELAPSED TIME,Cees JUFFERMANS POSITION,Cees JUFFERMANS LAP TIME,Cees JUFFERMANS ELAPSED TIME,LI Jiajun POSITION,LI Jiajun LAP TIME,LI Jiajun ELAPSED TIME
3,13.346,13.346,1,13.040,13.040,2,13.158,13.158,4,13.405,13.405
3,10.527,23.873,2,10.600,23.639,1,10.475,23.632,4,10.545,23.949
3,10.469,34.342,2,10.415,34.054,1,10.409,34.040,4,10.516,34.465
3,9.830,44.171,2,9.918,43.972,1,9.888,43.928,4,9.738,44.202
3,9.666,53.836,2,9.605,53.576,1,9.623,53.550,4,9.718,53.920
3,9.445,1:03.281,2,9.675,1:03.251,1,9.400,1:02.950,4,9.679,1:03.598
4,9.689,1:12.970,3,9.657,1:12.908,2,9.635,1:12.584,1,8.951,1:12.549
3,9.995,1:22.964,4,10.132,1:23.039,2,9.527,1:22.111,1,9.220,1:21.768
4,10.13,1:33.089,3,10.01,1:33.049,2,9.62,1:31.724,1,9.88,1:31.646
