YANG Shin-Young POSITION,YANG Shin-Young LAP TIME,YANG Shin-Young ELAPSED TIME,Allison BAVER POSITION,Allison BAVER LAP TIME,Allison BAVER ELAPSED TIME,Valerie LAMBERT POSITION,Valerie LAMBERT LAP TIME,Valerie LAMBERT ELAPSED TIME,Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME
1,7.33,7.33,4,7.64,7.64,2,7.41,7.41,3,7.50,7.50
2,9.84,17.17,4,9.77,17.41,1,9.63,17.04,3,9.78,17.29
2,9.29,26.46,4,9.11,26.52,1,9.31,26.35,3,9.22,26.51
2,9.57,36.03,3,9.52,36.05,1,9.57,35.93,4,9.64,36.15
3,9.78,45.805,2,9.75,45.799,1,9.85,45.779,4,9.94,46.086
