Selim TANRIKULU POSITION,Selim TANRIKULU LAP TIME,Selim TANRIKULU ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME
3,15.86,15.86,2,15.79,15.79,1,15.72,15.72,4,16.20,16.20
3,12.05,27.91,2,11.96,27.75,1,11.91,27.63,4,11.86,28.06
4,11.44,39.35,3,11.46,39.21,1,11.49,39.12,2,11.15,39.21
4,9.81,49.16,3,9.85,49.06,2,9.81,48.93,1,9.67,48.88
4,9.48,58.64,3,9.45,58.51,2,9.58,58.51,1,9.53,58.41
4,9.41,1:08.05,3,9.32,1:07.83,2,9.22,1:07.73,1,9.23,1:07.64
4,9.37,1:17.42,3,9.25,1:17.08,2,9.18,1:16.91,1,9.18,1:16.82
4,9.39,1:26.81,3,9.19,1:26.27,2,9.23,1:26.14,1,9.15,1:25.97
4,9.81,1:36.615,3,9.24,1:35.501,2,9.21,1:35.348,1,9.29,1:35.253
