Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,ZHAXYBAYEV Mersaid POSITION,ZHAXYBAYEV Mersaid LAP TIME,ZHAXYBAYEV Mersaid ELAPSED TIME,Soo An YOO POSITION,Soo An YOO LAP TIME,Soo An YOO ELAPSED TIME
2,14.13,14.13,3,14.23,14.23,1,14.05,14.05
2,10.75,24.88,3,10.79,25.02,1,10.72,24.77
1,9.79,34.67,3,9.87,34.89,2,9.93,34.70
2,9.60,44.27,3,9.53,44.42,1,9.57,44.27
2,9.53,53.80,3,9.52,53.94,1,9.38,53.65
2,9.33,1:03.13,3,9.32,1:03.26,1,9.37,1:03.02
1,9.01,1:12.14,3,9.14,1:12.40,2,9.28,1:12.30
1,9.04,1:21.18,3,9.16,1:21.56,2,9.18,1:21.48
1,9.46,1:30.638,2,9.41,1:30.968,3,9.53,1:31.002
