NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,Chris CREVELING POSITION,Chris CREVELING LAP TIME,Chris CREVELING ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME
1,6.76,6.76,2,6.95,6.95,3,7.05,7.05,4,7.17,7.17
1,8.85,15.61,2,8.82,15.77,3,8.82,15.87,4,8.82,15.99
1,8.50,24.11,2,8.54,24.31,3,8.47,24.34,4,8.47,24.46
1,8.55,32.66,4,8.79,33.10,2,8.50,32.84,3,8.50,32.96
4,32.96,1:05.543,3,8.97,42.056,2,9.19,42.03,1,8.84,41.80
