THOMSON Kathryn POSITION,THOMSON Kathryn LAP TIME,THOMSON Kathryn ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,LIU Yang POSITION,LIU Yang LAP TIME,LIU Yang ELAPSED TIME,Tina GRASSOW POSITION,Tina GRASSOW LAP TIME,Tina GRASSOW ELAPSED TIME
2,7.48,7.48,3,7.64,7.64,1,7.16,7.16,4,7.76,7.76,5,7.88,7.88
2,9.49,16.97,4,9.69,17.33,1,9.39,16.55,3,9.39,17.15,5,9.57,17.45
2,8.82,25.79,4,9.18,26.51,1,8.88,25.43,3,8.89,26.04,5,9.10,26.55
3,9.09,34.88,4,9.33,35.84,1,9.12,34.55,2,8.81,34.85,5,9.31,35.86
3,9.20,44.08,5,9.80,45.64,1,9.16,43.71,2,9.12,43.97,4,9.63,45.49
