Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME,Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME
3,8.21,8.21,1,7.95,7.95,2,8.04,8.04,4,8.38,8.38,5,8.63,8.63
3,11.54,19.75,1,11.49,19.44,2,11.61,19.65,4,11.50,19.88,5,11.37,20.00
3,10.86,30.61,1,10.93,30.37,2,10.84,30.49,4,10.89,30.77,5,10.88,30.88
4,11.49,42.10,2,11.60,41.97,1,11.47,41.96,5,11.46,42.23,3,11.19,42.07
4,10.76,52.86,2,10.64,52.61,1,10.61,52.57,5,10.74,52.97,3,10.68,52.75
2,10.19,1:03.05,1,10.24,1:02.85,3,10.51,1:03.08,5,10.34,1:03.31,4,10.43,1:03.18
2,10.16,1:13.21,1,10.28,1:13.13,3,10.23,1:13.31,5,10.19,1:13.50,4,10.23,1:13.41
3,10.44,1:23.65,2,10.43,1:23.56,1,10.11,1:23.42,5,10.38,1:23.88,4,10.33,1:23.74
2,9.89,1:33.54,1,9.81,1:33.37,3,10.16,1:33.58,5,9.91,1:33.79,4,9.88,1:33.62
3,9.54,1:43.08,2,9.61,1:42.98,4,9.64,1:43.22,5,9.55,1:43.34,1,9.05,1:42.67
2,9.13,1:52.21,3,9.24,1:52.22,4,9.14,1:52.36,5,9.20,1:52.54,1,8.89,1:51.56
2,9.22,2:01.43,4,9.55,2:01.77,3,9.20,2:01.56,5,9.38,2:01.92,1,9.15,2:00.71
2,9.49,2:10.92,5,10.03,2:11.80,3,9.43,2:10.99,4,9.79,2:11.71,1,9.35,2:10.06
3,9.63,2:20.548,5,10.46,2:22.253,2,9.47,2:20.455,4,9.85,2:21.554,1,9.57,2:19.623
