Artur SULTANGALIYEV POSITION,Artur SULTANGALIYEV LAP TIME,Artur SULTANGALIYEV ELAPSED TIME,Volodymyr GRYGORIEV POSITION,Volodymyr GRYGORIEV LAP TIME,Volodymyr GRYGORIEV ELAPSED TIME,Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME,Matthew FULLER POSITION,Matthew FULLER LAP TIME,Matthew FULLER ELAPSED TIME
3,15.515,15.515,4,15.728,15.728,1,15.230,15.230,2,15.292,15.292
4,11.709,27.224,3,11.396,27.124,1,11.587,26.816,2,11.756,27.048
4,10.768,37.991,3,10.684,37.807,1,10.760,37.576,2,10.673,37.720
4,9.634,47.625,3,9.762,47.569,2,9.664,47.239,1,9.388,47.108
4,9.584,57.209,3,9.487,57.055,2,9.542,56.780,1,9.672,56.779
4,9.785,1:06.993,3,9.659,1:06.713,1,9.504,1:06.284,2,9.545,1:06.324
4,9.940,1:16.933,3,9.478,1:16.191,1,9.253,1:15.537,2,9.341,1:15.665
4,10.316,1:27.249,3,9.401,1:25.592,1,9.630,1:25.167,2,9.532,1:25.196
4,10.84,1:38.082,2,9.45,1:35.033,1,9.85,1:35.016,3,10.07,1:35.262
