CHU Sidney K POSITION,CHU Sidney K LAP TIME,CHU Sidney K ELAPSED TIME,Liam O'BRIEN POSITION,Liam O'BRIEN LAP TIME,Liam O'BRIEN ELAPSED TIME,Bram STEENAART POSITION,Bram STEENAART LAP TIME,Bram STEENAART ELAPSED TIME,Tarik OMERAGIC POSITION,Tarik OMERAGIC LAP TIME,Tarik OMERAGIC ELAPSED TIME,MURPHY Peter POSITION,MURPHY Peter LAP TIME,MURPHY Peter ELAPSED TIME
4,7.59,7.59,1,7.25,7.25,2,7.53,7.53,5,7.72,7.72,3,7.54,7.54
5,9.94,17.53,1,9.49,16.74,3,9.47,17.00,4,9.59,17.31,2,9.35,16.89
4,9.84,27.37,5,31.61,48.35,1,8.99,25.99,3,9.41,26.72,2,9.22,26.11
4,9.78,37.15,5,14.82,1:03.17,1,9.02,35.01,3,9.65,36.37,2,9.16,35.27
4,9.95,47.10,5,12.27,1:15.410,1,9.15,44.16,3,10.19,46.56,2,9.38,44.65
