Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME,Shinichi TAGAMI POSITION,Shinichi TAGAMI LAP TIME,Shinichi TAGAMI ELAPSED TIME,Steve ROBILLARD POSITION,Steve ROBILLARD LAP TIME,Steve ROBILLARD ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,ZHANG Zhiqiang POSITION,ZHANG Zhiqiang LAP TIME,ZHANG Zhiqiang ELAPSED TIME
1,7.975,7.975,4,8.606,8.606,3,8.431,8.431,5,8.810,8.810,2,8.176,8.176,6,8.820,8.820
1,11.189,19.164,4,10.860,19.466,3,10.959,19.390,5,10.685,19.495,2,11.097,19.273,6,10.872,19.692
1,9.968,29.132,2,9.739,29.205,4,10.005,29.395,5,9.986,29.481,3,10.068,29.341,6,10.036,29.728
1,9.925,39.057,2,10.043,39.248,4,10.028,39.423,5,9.970,39.451,3,10.060,39.401,6,9.911,39.639
1,10.047,49.104,3,10.143,49.391,4,10.038,49.461,5,10.075,49.526,2,9.958,49.359,6,9.993,49.633
1,10.058,59.161,2,9.890,59.281,4,9.969,59.430,5,9.924,59.451,3,10.044,59.402,6,9.976,59.608
3,9.599,1:08.760,1,9.435,1:08.715,4,9.338,1:08.768,6,9.465,1:08.916,2,9.320,1:08.722,5,9.166,1:08.774
6,9.799,1:18.559,3,9.283,1:17.998,5,9.644,1:18.412,4,9.220,1:18.136,2,9.216,1:17.938,1,9.037,1:17.811
6,9.328,1:27.887,3,9.374,1:27.372,5,9.268,1:27.679,4,9.258,1:27.394,2,9.405,1:27.343,1,9.339,1:27.150
6,9.426,1:37.313,3,9.588,1:36.960,5,9.539,1:37.218,2,9.531,1:36.925,4,9.695,1:37.038,1,9.596,1:36.746
6,9.706,1:47.019,2,9.525,1:46.486,5,9.615,1:46.834,4,9.711,1:46.636,3,9.504,1:46.542,1,9.640,1:46.386
5,9.415,1:56.434,6,10.005,1:56.490,3,9.482,1:56.315,1,9.540,1:56.176,2,9.771,1:56.313,4,10.026,1:56.412
6,10.294,2:06.728,5,10.204,2:06.695,3,9.913,2:06.228,1,9.645,2:05.820,2,9.810,2:06.123,4,9.958,2:06.369
6,10.262,2:16.990,5,10.110,2:16.805,3,9.689,2:15.916,1,10.015,2:15.835,2,9.787,2:15.910,4,9.881,2:16.250
