HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,SHULGINOV Alexander POSITION,SHULGINOV Alexander LAP TIME,SHULGINOV Alexander ELAPSED TIME,Billy SIMMS POSITION,Billy SIMMS LAP TIME,Billy SIMMS ELAPSED TIME,Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME
1,12.70,12.70,3,12.86,,2,12.72,12.72,5,13.09,13.09,4,13.00,13.00
2,9.76,22.46,3,9.68,,1,9.66,22.38,5,9.68,22.77,4,9.69,22.69
2,9.69,32.15,3,9.72,,1,9.70,32.08,5,9.69,32.46,4,9.67,32.36
1,9.23,41.38,3,9.35,,2,9.42,41.50,5,9.41,41.87,4,9.36,41.72
1,9.01,50.39,3,9.01,,2,8.99,50.49,5,9.04,50.91,4,9.02,50.74
1,8.83,59.22,3,8.83,,2,8.87,59.36,5,8.85,59.76,4,8.81,59.55
1,8.82,1:08.04,3,8.85,,2,8.80,1:08.16,5,8.86,1:08.62,4,8.83,1:08.38
1,8.83,1:16.87,3,9.18,,2,8.85,1:17.01,5,9.19,1:17.81,4,9.36,1:17.74
1,8.97,1:25.84,3,9.22,,2,8.96,1:25.97,5,9.69,1:27.50,4,9.60,1:27.34
