MALAGICH Emina POSITION,MALAGICH Emina LAP TIME,MALAGICH Emina ELAPSED TIME,ZANG Yize POSITION,ZANG Yize LAP TIME,ZANG Yize ELAPSED TIME,SIGHEL Arianna POSITION,SIGHEL Arianna LAP TIME,SIGHEL Arianna ELAPSED TIME,KIM Ji Yoo POSITION,KIM Ji Yoo LAP TIME,KIM Ji Yoo ELAPSED TIME,Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME,Rosalie TREMBLAY POSITION,Rosalie TREMBLAY LAP TIME,Rosalie TREMBLAY ELAPSED TIME
4,14.20,14.20,3,14.12,14.12,5,14.30,14.30,2,14.01,14.01,1,13.88,13.88,6,14.42,14.42
4,10.66,24.86,3,10.65,24.77,6,10.65,24.95,2,10.65,24.66,1,10.63,24.51,5,10.52,24.94
4,10.20,35.06,3,10.20,34.97,6,10.44,35.39,2,10.21,34.87,1,10.23,34.74,5,10.29,35.23
4,10.02,45.08,3,10.02,44.99,6,9.89,45.28,2,10.03,44.90,1,10.10,44.84,5,9.93,45.16
5,9.78,54.86,2,9.74,54.73,6,9.72,55.00,3,9.84,54.74,1,9.87,54.71,4,9.68,54.84
4,9.90,1:04.76,2,9.60,1:04.33,6,9.83,1:04.83,1,9.27,1:04.01,5,10.06,1:04.77,3,9.83,1:04.67
5,10.02,1:14.78,2,9.58,1:13.91,6,10.05,1:14.88,1,9.57,1:13.58,4,9.90,1:14.67,3,9.94,1:14.61
6,10.54,1:25.32,2,9.72,1:23.63,5,10.10,1:24.98,1,9.92,1:23.50,3,9.94,1:24.61,4,10.22,1:24.83
6,11.68,1:36.992,2,10.24,1:33.864,4,9.99,1:34.967,1,10.20,1:33.694,3,10.19,1:34.795,5,10.47,1:35.294
