Maria GARCIA POSITION,Maria GARCIA LAP TIME,Maria GARCIA ELAPSED TIME,Yulyia YELSAKOVA POSITION,Yulyia YELSAKOVA LAP TIME,Yulyia YELSAKOVA ELAPSED TIME,Anna KRASTEVA POSITION,Anna KRASTEVA LAP TIME,Anna KRASTEVA ELAPSED TIME,ZHU Mi Lei POSITION,ZHU Mi Lei LAP TIME,ZHU Mi Lei ELAPSED TIME
3,7.687,7.687,1,7.392,7.392,4,7.726,7.726,2,7.475,7.475
3,10.015,17.701,1,10.194,17.585,4,9.990,17.716,2,10.138,17.613
3,9.808,27.509,2,9.842,27.427,4,9.809,27.524,1,9.712,27.324
2,9.812,37.320,4,9.986,37.412,3,9.825,37.349,1,9.586,36.910
2,9.78,47.098,4,10.57,47.973,3,10.38,47.727,1,9.85,46.752
